feature,correlation,p_value,abs_correlation
LEIDEN_cluster_37,0.4488442912110166,1.3180675764039445e-35,0.4488442912110166
PCA_1,-0.42515597381306436,9.51251540066967e-32,0.42515597381306436
LEIDEN_cluster_1,0.40143548062879897,3.519992030006732e-28,0.40143548062879897
LEIDEN_cluster_35,-0.3695431408867976,8.138379492925892e-24,0.3695431408867976
LEIDEN_cluster_33,-0.3597182302161588,1.4460741587325309e-22,0.3597182302161588
LEIDEN_cluster_3,0.3481647831532454,3.7584795763008894e-21,0.3481647831532454
LEIDEN_cluster_53,0.33022548972720867,4.551470292128955e-19,0.33022548972720867
LEIDEN_cluster_47,0.32311827801110926,2.7939738807753845e-18,0.32311827801110926
LEIDEN_cluster_12,0.3204686817845076,5.428975542038178e-18,0.3204686817845076
LEIDEN_cluster_54,0.315213374659897,1.988392717964387e-17,0.315213374659897
LEIDEN_cluster_20,-0.30615536429203194,1.7548360880102304e-16,0.30615536429203194
LEIDEN_cluster_44,0.2965089793690429,1.6436018525106812e-15,0.2965089793690429
LEIDEN_cluster_52,-0.2891787125616762,8.510243481647902e-15,0.2891787125616762
LEIDEN_cluster_49,-0.2819871688454168,4.0796623956044035e-14,0.2819871688454168
LEIDEN_cluster_5,0.2806223036324037,5.465132362198442e-14,0.2806223036324037
LEIDEN_cluster_41,0.2801895783985122,5.993931760852048e-14,0.2801895783985122
LEIDEN_cluster_31,-0.2657403325533528,1.1940734225419825e-12,0.2657403325533528
LEIDEN_cluster_29,-0.2650107276552328,1.382281011420495e-12,0.2650107276552328
LEIDEN_cluster_4,0.2646330094056152,1.4908289408424919e-12,0.2646330094056152
LEIDEN_cluster_0,0.2606114813589579,3.30946187060828e-12,0.2606114813589579
LEIDEN_cluster_40,-0.25319736540827464,1.389660240809434e-11,0.25319736540827464
total_char_length,0.2277235235135083,1.366046243459893e-09,0.2277235235135083
clean_text_length,0.2270523684199287,1.5307684264796133e-09,0.2270523684199287
LEIDEN_cluster_51,-0.21188617294693443,1.8252292518196067e-08,0.21188617294693443
LEIDEN_cluster_7,-0.2105158475984862,2.2633501689992432e-08,0.2105158475984862
LEIDEN_cluster_11,0.1910221797206566,4.1354553213886744e-07,0.1910221797206566
LEIDEN_cluster_25,-0.1881966384796048,6.152986136681293e-07,0.1881966384796048
LEIDEN_cluster_17,0.1877664936114928,6.533247882235987e-07,0.1877664936114928
LEIDEN_cluster_45,-0.17134453213610126,5.821101204189565e-06,0.17134453213610126
LEIDEN_cluster_19,0.1649015673527047,1.3010871368143741e-05,0.1649015673527047
LEIDEN_cluster_27,0.16477340793795162,1.3216678047994655e-05,0.16477340793795162
LEIDEN_cluster_8,-0.164372582634683,1.3880538649691292e-05,0.164372582634683
LEIDEN_cluster_16,-0.16140565830381304,1.9878844999202857e-05,0.16140565830381304
LEIDEN_cluster_24,0.15283259686817607,5.416948207364433e-05,0.15283259686817607
LEIDEN_cluster_30,0.14412964767679115,0.00014209889824479818,0.14412964767679115
LEIDEN_cluster_42,-0.1379937161010953,0.00027166820183785755,0.1379937161010953
LEIDEN_cluster_46,-0.13420469247245098,0.00040009966659793685,0.13420469247245098
LEIDEN_cluster_39,-0.13162469245816183,0.0005178307733367928,0.13162469245816183
avg_tokens_per_chunk,-0.12832539082169248,0.0007153949850711969,0.12832539082169248
LEIDEN_cluster_10,-0.12204565357915825,0.001296523770088228,0.12204565357915825
total_tokens,0.11328893335208054,0.0028414269657959755,0.11328893335208054
LEIDEN_cluster_32,0.10858347870576061,0.004240676407963381,0.10858347870576061
LEIDEN_cluster_34,-0.10529470181882913,0.005561480481351104,0.10529470181882913
LEIDEN_cluster_23,-0.10321318492577945,0.006578367618900419,0.10321318492577945
LEIDEN_cluster_2,-0.1013643364984319,0.007618287327270743,0.1013643364984319
LEIDEN_cluster_58,0.09514981807492112,0.012274271710356837,0.09514981807492112
LEIDEN_cluster_26,-0.07824377539114383,0.03961829770276019,0.07824377539114383
LEIDEN_cluster_38,0.07743003275258604,0.04172610847415944,0.07743003275258604
LEIDEN_cluster_57,0.07404348562557597,0.05154291518009042,0.07404348562557597
PCA_2,-0.06871394959525384,0.07084815906020372,0.06871394959525384
LEIDEN_cluster_13,-0.06656792912341013,0.08013482114829197,0.06656792912341013
LEIDEN_cluster_56,-0.066086972296174,0.08234598590906685,0.066086972296174
LEIDEN_cluster_9,0.06587190139720003,0.083350604294874,0.06587190139720003
LEIDEN_cluster_22,0.05861485826027309,0.1234499138587964,0.05861485826027309
LEIDEN_cluster_14,-0.05742756653531275,0.13124820087865688,0.05742756653531275
LEIDEN_cluster_43,-0.053030467195569156,0.16347698187916343,0.053030467195569156
LEIDEN_cluster_15,0.052656357499186485,0.16647230255014836,0.052656357499186485
LEIDEN_cluster_21,-0.03770142518317823,0.3220134481813288,0.03770142518317823
LEIDEN_cluster_28,-0.028211587994804034,0.4587317489177564,0.028211587994804034
LEIDEN_cluster_18,-0.023166922066080856,0.5429179228524403,0.023166922066080856
LEIDEN_cluster_50,-0.017275245280823102,0.6500785719845185,0.017275245280823102
LEIDEN_cluster_55,-0.013656276937848266,0.7198884932900471,0.013656276937848266
LEIDEN_cluster_36,-0.01188741444637996,0.7549229224792506,0.01188741444637996
LEIDEN_cluster_48,-0.004460215287732092,0.9067662196295863,0.004460215287732092
LEIDEN_cluster_6,-0.0010228016224944902,0.9785737302316977,0.0010228016224944902
