feature,correlation,p_value,abs_correlation
LEIDEN_cluster_14,-0.38084357039218236,2.9486451812917934e-18,0.38084357039218236
LEIDEN_cluster_1,0.37480357191692937,1.0891872725107405e-17,0.37480357191692937
LEIDEN_cluster_30,0.37006574773517464,2.9785180073582626e-17,0.37006574773517464
LEIDEN_cluster_28,0.2973329272997333,2.1310839881867945e-11,0.2973329272997333
LEIDEN_cluster_13,0.2899366230511037,6.913462944972356e-11,0.2899366230511037
LEIDEN_cluster_23,-0.26366099501460355,3.454383271763161e-09,0.26366099501460355
LEIDEN_cluster_32,0.256065895517384,9.913363114049903e-09,0.256065895517384
LEIDEN_cluster_10,0.25498076451674706,1.1493348475684256e-08,0.25498076451674706
LEIDEN_cluster_39,0.24774736422475319,3.0272356891035795e-08,0.24774736422475319
LEIDEN_cluster_26,-0.2439859443883481,4.950242350710764e-08,0.2439859443883481
LEIDEN_cluster_49,-0.24243097505959657,6.052035010121799e-08,0.24243097505959657
LEIDEN_cluster_21,-0.23885009754134998,9.563745563458983e-08,0.23885009754134998
LEIDEN_cluster_35,-0.23176132992003187,2.3164241180304484e-07,0.23176132992003187
LEIDEN_cluster_5,-0.22868697963815468,3.3702489827706026e-07,0.22868697963815468
LEIDEN_cluster_2,-0.22568508461583334,4.835921387591698e-07,0.22568508461583334
LEIDEN_cluster_45,0.20792714298050266,3.702309370800028e-06,0.20792714298050266
LEIDEN_cluster_48,-0.1848884297336503,4.041553181440944e-05,0.1848884297336503
LEIDEN_cluster_27,0.18130766961440695,5.716210559637199e-05,0.18130766961440695
LEIDEN_cluster_25,0.16911915672061126,0.00017712653745337285,0.16911915672061126
LEIDEN_cluster_8,-0.16895638108766167,0.00017973060858363486,0.16895638108766167
LEIDEN_cluster_42,-0.1658642124412203,0.00023655449684593737,0.1658642124412203
LEIDEN_cluster_43,-0.15801586222322098,0.00046498070852765537,0.15801586222322098
LEIDEN_cluster_15,0.15765406009146046,0.0004793410719559076,0.15765406009146046
LEIDEN_cluster_3,0.1505652216089891,0.0008586350314882916,0.1505652216089891
LEIDEN_cluster_19,-0.14919087673258893,0.0009586293557358758,0.14919087673258893
LEIDEN_cluster_9,-0.14550177432932096,0.001282604095161593,0.14550177432932096
LEIDEN_cluster_22,-0.12777971881237207,0.00474000231506282,0.12777971881237207
LEIDEN_cluster_31,-0.11671248709357004,0.009942674884146383,0.11671248709357004
LEIDEN_cluster_34,-0.10817698779507104,0.016934111762044828,0.10817698779507104
LEIDEN_cluster_17,-0.1046686969269756,0.020874317771587252,0.1046686969269756
LEIDEN_cluster_50,0.10459650602302752,0.020963133633851116,0.10459650602302752
LEIDEN_cluster_7,0.09772454011634003,0.031066960202210364,0.09772454011634003
LEIDEN_cluster_4,0.09175689820370055,0.04297364268496562,0.09175689820370055
LEIDEN_cluster_24,0.09125057481781133,0.044140865751841944,0.09125057481781133
LEIDEN_cluster_0,0.08029180477675457,0.07669529025529553,0.08029180477675457
LEIDEN_cluster_6,0.07783241818461314,0.08619838445440463,0.07783241818461314
LEIDEN_cluster_36,0.07360086121156449,0.10474846617426935,0.07360086121156449
LEIDEN_cluster_44,0.07112341153278837,0.11699574474442073,0.07112341153278837
LEIDEN_cluster_38,-0.07081596192000973,0.11859077159391923,0.07081596192000973
LEIDEN_cluster_40,-0.06387180222203126,0.15932571565430093,0.06387180222203126
total_tokens,0.05399745351932792,0.23427221617208174,0.05399745351932792
LEIDEN_cluster_47,-0.048609164624809464,0.28435512834153387,0.048609164624809464
LEIDEN_cluster_37,-0.04495620171300966,0.32215063213271833,0.04495620171300966
LEIDEN_cluster_12,-0.04358181408571507,0.33718037345164387,0.04358181408571507
LEIDEN_cluster_46,0.033708140069199595,0.4579824312507602,0.033708140069199595
LEIDEN_cluster_20,0.032912415015540354,0.4686707248882974,0.032912415015540354
avg_tokens_per_chunk,-0.02851774124197647,0.5301073455787615,0.02851774124197647
LEIDEN_cluster_29,-0.02622143022676845,0.5637579025136032,0.02622143022676845
LEIDEN_cluster_11,-0.015479685304012388,0.7332922120150831,0.015479685304012388
total_char_length,0.014738025428062579,0.7456187923262174,0.014738025428062579
clean_text_length,0.01300040800806476,0.7747488081090697,0.01300040800806476
LEIDEN_cluster_41,0.008101523016212503,0.8584649824266918,0.008101523016212503
LEIDEN_cluster_16,0.0036709995639557787,0.9355978354137142,0.0036709995639557787
LEIDEN_cluster_18,0.0035444141089689797,0.937814018460839,0.0035444141089689797
LEIDEN_cluster_33,0.0033274129682042517,0.9416142537118106,0.0033274129682042517
