feature,correlation_pearson,p_value_pearson,correlation_spearman,p_value_spearman,correlation_difference
LEIDEN_cluster_0,0.10181079907422255,0.02465051756144097,0.08029180477675457,0.07669529025529553,0.02151899429746798
LEIDEN_cluster_1,0.3535187379271101,8.796299515916147e-16,0.37480357191692937,1.0891872725107405e-17,0.021284833989819285
LEIDEN_cluster_14,-0.36102528864493477,1.9403953618212626e-16,-0.38084357039218236,2.9486451812917934e-18,0.01981828174724759
LEIDEN_cluster_16,0.02215984853055124,0.6256713537073318,0.0036709995639557787,0.9355978354137142,0.018488848966595462
LEIDEN_cluster_11,0.002334519299477783,0.9590179164510628,-0.015479685304012388,0.7332922120150831,0.01781420460349017
LEIDEN_cluster_49,-0.22544461418828965,4.976775244011296e-07,-0.24243097505959657,6.052035010121799e-08,0.01698636087130692
LEIDEN_cluster_28,0.3115085009051386,2.029268111211322e-12,0.2973329272997333,2.1310839881867945e-11,0.014175573605405278
LEIDEN_cluster_13,0.27584021465343156,5.93476173025488e-10,0.2899366230511037,6.913462944972356e-11,0.014096408397672122
LEIDEN_cluster_33,-0.009896199150319501,0.8275582954169589,0.0033274129682042517,0.9416142537118106,0.013223612118523752
LEIDEN_cluster_26,-0.23119861383255974,2.481958137267794e-07,-0.2439859443883481,4.950242350710764e-08,0.012787330555788373
LEIDEN_cluster_34,-0.1208811856665112,0.007572497042660978,-0.10817698779507104,0.016934111762044828,0.012704197871440157
LEIDEN_cluster_37,-0.05711928133747547,0.20828294444724002,-0.04495620171300966,0.32215063213271833,0.012163079624465813
LEIDEN_cluster_48,-0.19700885303134272,1.1899183547609206e-05,-0.1848884297336503,4.041553181440944e-05,0.012120423297692418
LEIDEN_cluster_50,0.09253972305677714,0.041220250106864566,0.10459650602302752,0.020963133633851116,0.012056782966250373
LEIDEN_cluster_41,-0.0031022127252484794,0.9455594763537692,0.008101523016212503,0.8584649824266918,0.011203735741460982
LEIDEN_cluster_23,-0.25268008023581184,1.569062605349851e-08,-0.26366099501460355,3.454383271763161e-09,0.010980914778791706
clean_text_length,0.002120194255465429,0.9627774957965469,0.01300040800806476,0.7747488081090697,0.010880213752599332
LEIDEN_cluster_5,-0.2179073983839534,1.204469821132561e-06,-0.22868697963815468,3.3702489827706026e-07,0.010779581254201281
LEIDEN_cluster_35,-0.22130562488149885,8.117131999317407e-07,-0.23176132992003187,2.3164241180304484e-07,0.01045570503853302
LEIDEN_cluster_39,0.25799440853878053,7.609344978225602e-09,0.24774736422475319,3.0272356891035795e-08,0.010247044314027343
LEIDEN_cluster_40,-0.05381867705214087,0.2358269570576268,-0.06387180222203126,0.15932571565430093,0.01005312516989039
LEIDEN_cluster_24,0.10108366792317157,0.025700609028161327,0.09125057481781133,0.044140865751841944,0.009833093105360236
total_char_length,0.005083104514202769,0.9109131632686379,0.014738025428062579,0.7456187923262174,0.00965492091385981
LEIDEN_cluster_47,-0.04030280484320646,0.3748202973156963,-0.048609164624809464,0.28435512834153387,0.008306359781603004
LEIDEN_cluster_3,0.14477795086252992,0.00135695009752607,0.1505652216089891,0.0008586350314882916,0.005787270746459183
LEIDEN_cluster_30,0.36488430996589916,8.782560133357179e-17,0.37006574773517464,2.9785180073582626e-17,0.005181437769275488
LEIDEN_cluster_42,-0.16073301620818045,0.00036925707174413673,-0.1658642124412203,0.00023655449684593737,0.005131196233039842
LEIDEN_cluster_38,-0.07593702281684118,0.09415119138508549,-0.07081596192000973,0.11859077159391923,0.005121060896831453
LEIDEN_cluster_46,0.0387596582286684,0.3933966182611791,0.033708140069199595,0.4579824312507602,0.005051518159468804
LEIDEN_cluster_45,0.21281364910642997,2.1508448982219013e-06,0.20792714298050266,3.702309370800028e-06,0.004886506125927309
LEIDEN_cluster_8,-0.17380852566095384,0.00011566134246518341,-0.16895638108766167,0.00017973060858363486,0.004852144573292166
LEIDEN_cluster_19,-0.14442667180655736,0.0013944413037403178,-0.14919087673258893,0.0009586293557358758,0.004764204926031579
LEIDEN_cluster_6,0.08256691216067528,0.06867984546847428,0.07783241818461314,0.08619838445440463,0.00473449397606214
LEIDEN_cluster_10,0.25927951026221646,6.372035640382388e-09,0.25498076451674706,1.1493348475684256e-08,0.004298745745469401
LEIDEN_cluster_21,-0.23459449777128785,1.6320406232176997e-07,-0.23885009754134998,9.563745563458983e-08,0.004255599770062124
LEIDEN_cluster_29,-0.029852772310774968,0.511022231235549,-0.02622143022676845,0.5637579025136032,0.0036313420840065162
LEIDEN_cluster_7,0.09924209707860433,0.028534198409429484,0.09772454011634003,0.031066960202210364,0.0015175569622642993
LEIDEN_cluster_32,0.25747621509159324,8.171579718384708e-09,0.256065895517384,9.913363114049903e-09,0.001410319574209229
LEIDEN_cluster_4,0.09237947184171191,0.041574182899552135,0.09175689820370055,0.04297364268496562,0.0006225736380113672
