feature,importance_mean,importance_std
LEIDEN_cluster_2,0.01112961416550002,0.0041077408430978705
LEIDEN_cluster_1,0.007569365894633006,0.006831946831296663
LEIDEN_cluster_31,0.00435613834643603,0.0032746411065958585
LEIDEN_cluster_11,0.00411185488031927,0.0044001188140470274
LEIDEN_cluster_30,0.003963502193229721,0.01157867164191686
LEIDEN_cluster_19,0.0035410891531789447,0.0017705445765894721
LEIDEN_cluster_8,0.003521805467918356,0.0018116794832721435
LEIDEN_cluster_4,0.0033935437717964884,0.0018721410124064902
LEIDEN_cluster_41,0.0031753662455822527,0.004512337284884326
LEIDEN_cluster_16,0.002944092566167337,0.0025718166053420896
total_char_length,0.002892965611087824,0.0024907435432286263
LEIDEN_cluster_44,0.0028033622462666644,0.0021330388345186147
LEIDEN_cluster_34,0.0028033622462666644,0.0021330388345186147
LEIDEN_cluster_37,0.0026558168648842086,0.0021684653897481487
LEIDEN_cluster_43,0.0026404850756450975,0.005109835510712828
total_tokens,0.0025055006782175758,0.002718160425101642
LEIDEN_cluster_40,0.0022704472534336604,0.0032398249995500175
LEIDEN_cluster_21,0.0019180899579719283,0.002193419782980919
LEIDEN_cluster_22,0.0017705445765894723,0.0021684653897481487
LEIDEN_cluster_0,0.0017705445765894723,0.0021684653897481487
LEIDEN_cluster_36,0.0017705445765894723,0.0021684653897481487
LEIDEN_cluster_32,0.001767734188372668,0.0027110036690985028
LEIDEN_cluster_20,0.001247781381623884,0.003155697522827567
LEIDEN_cluster_48,0.0011733660680188034,0.0030039420753670155
LEIDEN_cluster_9,0.0011199489773043156,0.00797699826238164
LEIDEN_cluster_45,0.001032817669677192,0.0018721410124064902
LEIDEN_cluster_17,0.0008824619000779317,0.002403570454013149
LEIDEN_cluster_12,0.0008740307354275186,0.003701894736100091
LEIDEN_cluster_50,0.0007335113245870735,0.002585234861162208
LEIDEN_cluster_6,0.0005901815255298241,0.0015046735576192659
LEIDEN_cluster_7,0.0005901815255298241,0.0015046735576192659
avg_tokens_per_chunk,0.0004523387816167901,0.0035413119431092575
LEIDEN_cluster_46,0.00014754538138245604,0.0007945561952760405
LEIDEN_cluster_5,0.0,0.0
LEIDEN_cluster_27,0.0,0.0
LEIDEN_cluster_3,0.0,0.0
LEIDEN_cluster_47,0.0,0.0
LEIDEN_cluster_15,-3.8749292080238655e-05,0.0017252288542932916
LEIDEN_cluster_23,-4.0386071850628816e-05,0.005162019202402022
LEIDEN_cluster_10,-6.521188194073362e-05,0.003334091515716108
clean_text_length,-0.00018629467346269467,0.0015133146450568228
LEIDEN_cluster_29,-0.00029930634509011864,0.0016000842331961257
LEIDEN_cluster_33,-0.00044685172647257465,0.001340555179417724
LEIDEN_cluster_39,-0.0007447528774542911,0.0016653180604263654
LEIDEN_cluster_35,-0.0007489684597794977,0.002592878622821729
LEIDEN_cluster_24,-0.0010015201645354522,0.0020030403290709044
LEIDEN_cluster_28,-0.0011279014742190507,0.00753764054208276
LEIDEN_cluster_18,-0.0012190293295777329,0.0051732318736703
LEIDEN_cluster_26,-0.001340555179417724,0.0020477318609822756
LEIDEN_cluster_42,-0.001940633574457451,0.0029927798962869653
LEIDEN_cluster_38,-0.002025310526607127,0.003398270271103652
LEIDEN_cluster_13,-0.002086713250980417,0.002506499604583572
LEIDEN_cluster_49,-0.0025321597833445897,0.0022143094951997534
LEIDEN_cluster_25,-0.005261569674282555,0.0032498803839931985
LEIDEN_cluster_14,-0.00944471363715815,0.00895013137780485
