feature,importance_mean,importance_std
LEIDEN_cluster_53,0.006370474817794592,0.0020215759921641025
total_tokens,0.00627501844721237,0.0018473839149787516
clean_text_length,0.006120782222657694,0.0012976661730188526
LEIDEN_cluster_28,0.005806370421644169,0.001982484241262423
PCA_1,0.0054941885671092264,0.0019448284286278815
LEIDEN_cluster_3,0.005320722279325696,0.002901544266036433
LEIDEN_cluster_35,0.005260044186861072,0.001886609612054917
LEIDEN_cluster_44,0.005004735516998934,0.0017685010688015118
LEIDEN_cluster_30,0.00448108228914651,0.0007057620184111602
LEIDEN_cluster_56,0.004451270716697705,0.0018155789106128813
LEIDEN_cluster_57,0.004088992278918087,0.00104033235837943
LEIDEN_cluster_11,0.003932156274826719,0.0011089980202720808
LEIDEN_cluster_34,0.003931030657572469,0.0015315364265274653
LEIDEN_cluster_51,0.003696151857186832,0.0014499927601147457
LEIDEN_cluster_41,0.0036957766514354156,0.0015729625735487844
LEIDEN_cluster_12,0.003657650058955312,0.0021877549329972416
LEIDEN_cluster_33,0.0036169861173135105,0.0016908217749978087
total_char_length,0.0033832302605069273,0.0011657674094385085
LEIDEN_cluster_1,0.003304437052709826,0.001303727473572765
LEIDEN_cluster_0,0.0031468506371156242,0.0015309599774839277
LEIDEN_cluster_14,0.0031461002256127912,0.0017568375775781969
LEIDEN_cluster_47,0.0028339290404357192,0.001120980227968173
LEIDEN_cluster_9,0.00283280342318147,0.0015394322074259927
LEIDEN_cluster_58,0.002809240428967504,0.0012424842726119505
LEIDEN_cluster_52,0.002674469269759631,0.0018978930012242237
LEIDEN_cluster_37,0.002673721531931994,0.0020829440769498707
LEIDEN_cluster_20,0.002597924622795833,0.0012691832449004121
LEIDEN_cluster_4,0.0025967990055415836,0.0016503180474113704
LEIDEN_cluster_15,0.0025187562092473157,0.0014827721621016937
LEIDEN_cluster_40,0.002363796233913029,0.0
LEIDEN_cluster_55,0.00236154499940453,0.0014914390390177292
LEIDEN_cluster_25,0.0022850030261159283,0.00042431440967018413
LEIDEN_cluster_54,0.0022835022031102623,0.0012894705398889311
LEIDEN_cluster_29,0.0022823765858560126,0.001665758080609471
LEIDEN_cluster_27,0.0022062098183188274,0.0005896343759632739
LEIDEN_cluster_45,0.0022058346125674107,0.0008475157114019272
LEIDEN_cluster_50,0.002204708995313161,0.0013528206617979298
LEIDEN_cluster_18,0.0022043337895617447,0.0014834880520274024
LEIDEN_cluster_43,0.0022032054729855402,0.0018215159785136474
LEIDEN_cluster_13,0.0022009542128302822,0.0023540738789178278
LEIDEN_cluster_5,0.0021460872727795065,0.0018851195126835
LEIDEN_cluster_7,0.002143434634752443,0.0018799866777495765
LEIDEN_cluster_21,0.002127416610521726,0.0007091388701739086
LEIDEN_cluster_42,0.002127416610521726,0.0007091388701739087
LEIDEN_cluster_6,0.0019698301949275243,0.0008809348439979213
UMAP_1,0.0019690797834246913,0.0012316328679217291
LEIDEN_cluster_26,0.001967951466848487,0.001622828487187753
LEIDEN_cluster_49,0.0019150640430368108,0.0018880304448275226
LEIDEN_cluster_22,0.0018103677505762398,0.0016885311441432326
LEIDEN_cluster_46,0.0017334505715362214,0.0010453100251659577
LEIDEN_cluster_2,0.0016546573637391203,0.0010832275169357997
LEIDEN_cluster_38,0.0015758641559420195,0.0011143042308954167
LEIDEN_cluster_16,0.0015758641559420195,0.0011143042308954167
LEIDEN_cluster_17,0.0014959453308906689,0.0015517069678391592
avg_tokens_per_chunk,0.0014948360795243975,0.0024030816182487365
LEIDEN_cluster_39,0.0014182777403478175,0.0011580189257998945
LEIDEN_cluster_48,0.0012606913247536155,0.0011792687519265477
LEIDEN_cluster_36,0.0011818981169565146,0.0011818981169565144
LEIDEN_cluster_8,0.0011031049091594137,0.0011792687519265477
LEIDEN_cluster_31,0.0011027270040860422,0.0013288346118251902
LEIDEN_cluster_24,0.0011023544976565805,0.001459536676482433
LEIDEN_cluster_10,0.0009455184935652117,0.0011580189257998942
LEIDEN_cluster_23,0.0009455184935652117,0.0011580189257998945
PCA_2,0.0008877108839244345,0.001166680670469552
LEIDEN_cluster_32,0.0008652136654746253,0.0016725248710810138
UMAP_2,0.0007167745608471184,0.002055245577285222
LEIDEN_cluster_19,-7.917111287047233e-05,0.00042634949077174125
