feature,importance_mean,importance_std
LEIDEN_cluster_3,0.007176769132823972,0.0026669458536446177
LEIDEN_cluster_18,0.005779150935015128,0.0018770437129291338
LEIDEN_cluster_26,0.004459767750546062,0.0007024092297251759
LEIDEN_cluster_5,0.004173258189834235,0.002003750454230382
total_tokens,0.003912704396607373,0.0013982035554107222
LEIDEN_cluster_19,0.0034905644816459708,0.0018192942965330053
LEIDEN_cluster_44,0.0033550082626831344,0.001158173702262506
LEIDEN_cluster_11,0.003286483273135125,0.0019699308550676724
LEIDEN_cluster_12,0.0032667244084232496,0.0015606736870719892
PCA_1,0.002818210453318341,0.0018546243322344756
LEIDEN_cluster_41,0.0028182024829785787,0.0018588544179900586
LEIDEN_cluster_24,0.002506395808852139,0.0015953307647314436
LEIDEN_cluster_13,0.002440117739096955,0.0024757189192505455
LEIDEN_cluster_1,0.002291206551317826,0.0016750091261605127
LEIDEN_cluster_58,0.002261407692199291,0.0005967842291791991
LEIDEN_cluster_35,0.002133207829728323,0.0015507134158095845
LEIDEN_cluster_32,0.002122645685020589,0.0023086224436349163
LEIDEN_cluster_54,0.0020351453807578744,0.0020746376683310644
LEIDEN_cluster_52,0.001802493777146885,0.0014476692241668198
LEIDEN_cluster_10,0.0017998807052629498,0.002161927936418552
LEIDEN_cluster_28,0.001725196045005058,0.00104033235837943
LEIDEN_cluster_56,0.0017079794044655612,0.0010890711223803258
LEIDEN_cluster_14,0.0014880793784869024,0.0017658074347683805
LEIDEN_cluster_7,0.0014762150090998978,0.0021012459447754942
LEIDEN_cluster_29,0.0014555953708151252,0.0015871326170267812
UMAP_1,0.0014111488310709038,0.0013038628762155207
LEIDEN_cluster_9,0.0014107789726698794,0.0014357202560409035
LEIDEN_cluster_8,0.0013422088525718394,0.0014619941246074716
LEIDEN_cluster_33,0.001331613232796558,0.0016822927239289502
avg_tokens_per_chunk,0.001329367345638451,0.002247206823367696
LEIDEN_cluster_49,0.0012539402949033145,0.00145448676071465
LEIDEN_cluster_37,0.0011941503266928999,0.002006297932810807
LEIDEN_cluster_53,0.0011149529243402031,0.0015927830178440094
LEIDEN_cluster_31,0.0010911356805380912,0.002826973722959833
LEIDEN_cluster_57,0.001049053529897618,0.0011996386073134726
LEIDEN_cluster_43,0.001018686288766261,0.001448009589512687
LEIDEN_cluster_42,0.0009683571045208783,0.0011859903974375545
LEIDEN_cluster_20,0.0007978396849141589,0.001425757561261415
LEIDEN_cluster_2,0.0007826791974511786,0.0016477738024691263
LEIDEN_cluster_0,0.0007057620184111602,0.0010780692906646528
LEIDEN_cluster_15,0.0007046364011569107,0.0015086479714804541
LEIDEN_cluster_47,0.00047734328226727295,0.000954808902913128
PCA_2,0.0003284953542458761,0.001348460533418611
LEIDEN_cluster_22,0.00031369375924078513,0.0018040024392903184
LEIDEN_cluster_45,0.0001613928507534797,0.0006038767521942616
LEIDEN_cluster_38,0.00015683600409136891,0.0005868265932205785
LEIDEN_cluster_34,0.00015683600409136891,0.0005868265932205786
LEIDEN_cluster_17,0.0001557103868371194,0.001207027338423916
UMAP_2,3.464847050334748e-06,0.0016160313644794913
total_char_length,0.0,0.0
clean_text_length,0.0,0.0
LEIDEN_cluster_40,0.0,0.0
LEIDEN_cluster_51,0.0,0.0
LEIDEN_cluster_46,0.0,0.0
LEIDEN_cluster_50,0.0,0.0
LEIDEN_cluster_16,0.0,0.0
LEIDEN_cluster_25,0.0,0.0
LEIDEN_cluster_4,0.0,0.0
LEIDEN_cluster_39,-7.118033747854543e-05,0.0013067587256376213
LEIDEN_cluster_27,-7.879320779710097e-05,0.00042431440967018413
LEIDEN_cluster_55,-7.879320779710097e-05,0.00042431440967018413
LEIDEN_cluster_36,-0.00015758641559420193,0.000589634375963274
LEIDEN_cluster_23,-0.00023637962339130293,0.0007091388701739086
LEIDEN_cluster_6,-0.00023637962339130293,0.0007091388701739087
LEIDEN_cluster_30,-0.00023637962339130293,0.0007091388701739086
LEIDEN_cluster_21,-0.00031517283118840387,0.0008035362081919782
LEIDEN_cluster_48,-0.00031517283118840387,0.000803536208191978
