feature,importance_mean,importance_std
PCA_1,0.05565477866222741,0.007816774566590148
avg_tokens_per_chunk,0.012772722952122392,0.00469703345195477
LEIDEN_cluster_12,0.009464001703937752,0.002559062891692858
LEIDEN_cluster_3,0.006191988997678833,0.0023229717051776537
LEIDEN_cluster_18,0.00617788232786343,0.0013266959409756066
LEIDEN_cluster_1,0.00596067478511223,0.0029338673940081197
LEIDEN_cluster_7,0.005837332155000648,0.0027198962014988097
LEIDEN_cluster_30,0.00424545307725804,0.0011214525827556569
LEIDEN_cluster_51,0.004010574276872403,0.0010780692906646528
LEIDEN_cluster_55,0.0039317810690753015,0.0012656168309552252
LEIDEN_cluster_32,0.003461273056801195,0.0013225044730543064
LEIDEN_cluster_2,0.0033821046432526776,0.001572738092797413
LEIDEN_cluster_43,0.002632567068725681,0.001674621988796967
LEIDEN_cluster_10,0.002518378304173944,0.0016046214147376924
LEIDEN_cluster_58,0.002421029683430276,0.0
LEIDEN_cluster_11,0.002363796233913029,0.0
LEIDEN_cluster_20,0.0020175247361918966,0.0009022644912824821
LEIDEN_cluster_0,0.0018122437793333223,0.0009997737267942674
LEIDEN_cluster_56,0.0017020070194182575,0.0012586996057971504
LEIDEN_cluster_44,0.0016947207784011931,0.0011094551784054214
UMAP_1,0.001413367543628167,0.002493145376886677
LEIDEN_cluster_53,0.0007087609651005374,0.0012442711626616469
LEIDEN_cluster_35,0.0006288340420833224,0.0016098908706119206
LEIDEN_cluster_37,0.00015758641559420193,0.0005896343759632739
total_tokens,0.0,0.0
total_char_length,0.0,0.0
LEIDEN_cluster_22,0.0,0.0
LEIDEN_cluster_31,0.0,0.0
LEIDEN_cluster_33,0.0,0.0
LEIDEN_cluster_16,0.0,0.0
LEIDEN_cluster_21,0.0,0.0
LEIDEN_cluster_19,0.0,0.0
LEIDEN_cluster_14,0.0,0.0
clean_text_length,0.0,0.0
LEIDEN_cluster_15,0.0,0.0
PCA_2,0.0,0.0
LEIDEN_cluster_57,0.0,0.0
LEIDEN_cluster_54,0.0,0.0
LEIDEN_cluster_8,0.0,0.0
LEIDEN_cluster_27,0.0,0.0
LEIDEN_cluster_29,0.0,0.0
LEIDEN_cluster_36,0.0,0.0
LEIDEN_cluster_34,0.0,0.0
LEIDEN_cluster_25,0.0,0.0
LEIDEN_cluster_24,0.0,0.0
LEIDEN_cluster_23,0.0,0.0
LEIDEN_cluster_4,0.0,0.0
LEIDEN_cluster_42,0.0,0.0
LEIDEN_cluster_40,0.0,0.0
LEIDEN_cluster_46,0.0,0.0
LEIDEN_cluster_38,0.0,0.0
LEIDEN_cluster_48,0.0,0.0
LEIDEN_cluster_47,0.0,0.0
LEIDEN_cluster_49,0.0,0.0
LEIDEN_cluster_50,0.0,0.0
LEIDEN_cluster_28,-4.162406361011654e-06,0.0020317551365089375
LEIDEN_cluster_6,-7.917111287047233e-05,0.00042634949077174125
LEIDEN_cluster_13,-7.917111287047233e-05,0.00042634949077174125
LEIDEN_cluster_26,-0.00015834222574094466,0.0005924623585818325
LEIDEN_cluster_39,-0.00015834222574094466,0.0005924623585818325
LEIDEN_cluster_45,-0.00015834222574094466,0.0005924623585818326
LEIDEN_cluster_41,-0.0002359797844462867,0.0007130988396901386
LEIDEN_cluster_52,-0.00031668445148188933,0.0008073900988787905
LEIDEN_cluster_9,-0.0005549590507939757,0.0013295574507600808
UMAP_2,-0.0006291242116701031,0.0023768102108267432
LEIDEN_cluster_17,-0.0006333689029637787,0.0010503235025049358
LEIDEN_cluster_5,-0.0007917111287047233,0.0011196486156959309
